车型,指标类型,2026 Q1,2026 Q2,2026 Q3,2026 Q4
W01,量纲,301,522,5500,9370
W01,单车维度缺口,1869.30,2156.12,7850.99,8681.63
W02,量纲,2661,3035,201,
W02,单车维度缺口,-5807.88,2971.93,-143.23,
W04,量纲,57347,54000,29243,66000
W04,单车维度缺口,1167.28,819.48,4228.77,10088.63
W05,量纲,,,4930,29655
W05,单车维度缺口,,,37606.85,37815.56
X01,量纲,873,17872,30000,24100
X01,单车维度缺口,-6134.36,-590.30,1721.55,7983.54
X02,量纲,3558,938,,
X02,单车维度缺口,-2850.82,-3714.04,,
X03,量纲,5593,11949,37800,37800
X03,单车维度缺口,-4687.19,-949.91,99.85,5388.92
X04,量纲,16365,4209,24330,34150
X04,单车维度缺口,-1221.65,718.24,7473.60,9764.33
